Phylum;Class;Order;Family;Species;Known;Abbreviation;Total number of reads;# Spiders before cutoff;# Spiders after cutoff;Size from literature;TaxoSize;Type;Min;Max;Size reference
Animals;Insecta;Diptera;Muscidae;Phaonia pallida;yes;pha.pal;2985373;359;357;Spec length: 5,5-7,5mm;species;body;5,5;7,5;D'Assis Fonseca, E. C. M. (1968) Diptera - Cylorrhapha Calyptrata, section (b) Muscidae, Handbooks for the Identification of British Insects Vol. 10 Part IV (a) Royal Entomological Society of London, London, UK.
Animals;Insecta;Diptera;Fanniidae;Fannia sociella;yes;fan.soc;407683;303;303;Fam length: 2-5mm;family;body;2;5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Muscidae;Helina impuncta;yes;hel.imp;334983;55;55;Spec length: 6,5-8,25mm;species;body;6,5;8,25;D'Assis Fonseca, E. C. M. (1968) Diptera - Cylorrhapha Calyptrata, section (b) Muscidae, Handbooks for the Identification of British Insects Vol. 10 Part IV (a) Royal Entomological Society of London, London, UK.
Animals;Insecta;Diptera;Anthomyiidae;Delia platura;yes;del.pla;334674;50;50;Fam length: 4-12mm;family;body;4;12;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Lepidoptera;Erebidae;Hypena proboscidalis;yes;hyp.pro;305927;44;44;Spec vvl: 15-19mm;species;forewing;15;19;Waring, P. & Townsend, M. (2015) Nachtvlinders: de nieuwe veldgids voor Nederland en België. Kosmos Uitgevers, Utrecht/Antwerpen.
Animals;Insecta;Diptera;Fanniidae;Fannia aequilineata;yes;fan.aeq;274778;84;84;Fam length: 2-5mm;family;body;2;5;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Anisopodidae;Sylvicola cinctus;yes;syl.cin;58986;254;73;Fam length: 4-12mm;family;body;4;12;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Heleomyzidae;Suillia bicolor;yes;sui.bic;33298;168;30;Fam length: 1,2-12mm;family;body;1,2;12;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Phoridae;Megaselia longicostalis;yes;meg.lon;28675;82;44;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Coleoptera;Carabidae;Agonum marginatum;yes;ago.mar;28664;152;34;Spec length: 8,5-10,5mm;species;body;8,5;10,5;Boeken, M., Desender, K., Drost, B., van Gijzen, T., Koese, B., Muilwijk, J., Turin, H. & Vermeulen, R. J. (2002) De loopkevers van Nederland & Vlaanderen (Coleoptera: Carabidae). Stichting Jeugdbondsuitgeverij, Utrecht.
Animals;Insecta;Diptera;Cecidomyiidae;Ozirhincus sp. BOLD:ACI8202;no;ozi.ACI8202;28595;86;47;Fam length: 0,5-3mm;family;body;0,5;3;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Diptera;Anthomyiidae;Hydrophoria ruralis;yes;hyd.rur;28404;94;27;Fam length: 4-12mm;family;body;4;12;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Lepidoptera;Nolidae;Pseudoips prasinana;yes;pse.pra;28007;25;23;Spec vvl: 16-19mm;species;forewing;16;19;Waring, P. & Townsend, M. (2015) Nachtvlinders: de nieuwe veldgids voor Nederland en België. Kosmos Uitgevers, Utrecht/Antwerpen.
Animals;Insecta;Diptera;Muscidae;Coenosia tigrina;yes;coe.tig;27785;92;39;Genus length: 2-6,5mm;genus;body;2;6,5;D'Assis Fonseca, E. C. M. (1968) Diptera - Cylorrhapha Calyptrata, section (b) Muscidae, Handbooks for the Identification of British Insects Vol. 10 Part IV (a) Royal Entomological Society of London, London, UK.
Animals;Insecta;Diptera;Phoridae;Megaselia sp. BOLD:AAG3266;no;meg.AAG3266;27024;141;57;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Lepidoptera;Noctuidae;Phlogophora meticulosa;yes;phl.met;26729;42;42;Spec vvl: 21-25mm;species;forewing;21;25;Waring, P. & Townsend, M. (2015) Nachtvlinders: de nieuwe veldgids voor Nederland en België. Kosmos Uitgevers, Utrecht/Antwerpen.
Animals;Insecta;Coleoptera;Curculionidae;Platypus cylindrus;yes;pla.cyl;26171;107;37;Spec length: 5-5,5mm;species;body;5;5,5;Duffy, E. A. J. (1953) Coleoptera Scolytidae and Platypodidae, Handbooks for the Identification of British Insects Vol. 5 Part XV. Royal Entomological Society of London, London, UK.
Animals;Insecta;Diptera;Anthomyiidae;Delia florilega;yes;del.flo;26163;15;15;Fam length: 4-12mm;family;body;4;12;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
Animals;Insecta;Hymenoptera;Ichneumonidae;Diadegma sp. BOLD:ACR3912;no;dia.ACR3912;24921;109;19;NA;NA;NA;NA;NA;Not found
Animals;Insecta;Hymenoptera;Proctotrupidae;Proctotrupes bistriatus;yes;pro.bis;24019;83;20;NA;NA;NA;NA;NA;Not found
Animals;Insecta;Diptera;Muscidae;Hebecnema nigra;yes;heb.nig;23339;172;33;Genus length: 3,5-6,75mm;genus;body;3,5;6,75;D'Assis Fonseca, E. C. M. (1968) Diptera - Cylorrhapha Calyptrata, section (b) Muscidae, Handbooks for the Identification of British Insects Vol. 10 Part IV (a) Royal Entomological Society of London, London, UK.
Animals;Insecta;Diptera;Phoridae;Megaselia sp. BOLD:ACM7454;no;meg.ACM7454;23234;23;23;Fam length: 0,5-6mm;family;body;0,5;6;Oosterbroek, P., de Jong, H. & Sijstermans, L. (2005) De Europese families van muggen en vliegen (Diptera). KNNV Uitgeverij, Utrecht.
